Q221310,Anggun C. Sasmi,penyanyi-penulis lagu Indonesia-Prancis 
Q108890720,Enni Eryani,Indonesian politician (born 1967 in Palembang)
Q108890938,Anindyo Darmanto,Indonesian politician (born 1973 in Palembang)
Q108891177,Nadjamuddin,Indonesian politician (born in Palembang)
Q108891198,Panhar Makawi,Indonesian politician (born 1963 in Palembang)
Q108891468,Resta Mudarna S,Indonesian politician (born 1966 in Palembang)
Q108891657,Gefarina Djohan,Indonesian politician (born 1963 in Palembang)
Q108891720,Fariza Y. Irawady,Indonesian politician (born 1968 in Palembang)
Q108891742,Fariani Sugiharto,Indonesian politician (born 1961)
Q108891818,Aprileny,Indonesian politician (born 1974 in Palembang)
Q108891848,Ahmad Husin,Indonesian politician (born 1971 in Palembang)
Q108891869,Ardani Ahmad,Indonesian politician (born 1953 in Palembang)
Q108116919,Zulfi Akmal,dosen Indonesia
Q109712681,Jan Lodewijk van Riemsdijk,Military officer
Q87610564,Mary Brückel,
Q96987615,Khilmi,Indonesian politician
Q108891479,Aji Asyhari,Indonesian politician (born 1970 in Banyuwangi)
Q108892926,A.S. Suryonegoro,Indonesian politician (born 1946)
Q108893415,Nunik Endang Sunarsih,Indonesian politician (born 1959 in Banyuwangi)
Q108893624,Usamah Alhadar,Indonesian politician (born 1953 in Banyuwangi)
Q108893634,Muhammad Anwar,Indonesian politician (born 1972 in Banyuwangi)
Q108893646,Yunita Ratnasari,Indonesian politician (born 1983 in Banyuwangi)
Q108893650,Yuni Puspita Sari,Indonesian politician (born 1983 in Banyuwangi)
Q108893651,Suminto,Indonesian politician (born 1972 in Banyuwangi)
Q108893655,Mulyani,Indonesian politician (born 1965 in Banyuwangi)
Q108893660,Atang Trisnanto,Indonesian politician (born 1978 in Banyuwangi)
Q108893688,Endang Widiastuti,Indonesian politician (born 1963 in Banyuwangi)
Q108893695,Endang Sri Sukmawati,Indonesian politician (born 1965 in Banyuwangi)
Q108893700,Siti Utami,Indonesian politician (born 1966 in Banyuwangi)
Q108893732,Najmah Fairuz,Indonesian politician (born 1967 in Banyuwangi)
Q108893799,Joko S. Herlambang,Indonesian politician (born 1967 in Banyuwangi)
Q108893806,Tutuk Asma'a Zuchroh,Indonesian politician (born 1982 in Banyuwangi)
Q108893842,Danny Agus Surono Sunaryadi,Indonesian politician (born 1972)
Q108893854,Suyanto,Indonesian politician (born 1960 in Banyuwangi)
Q108893915,Ariyana Wahidah,Indonesian politician (born 1971 in Banyuwangi)
Q108893916,Sofyan Said,Indonesian politician (born 1962 in Banyuwangi)
Q108894278,Bambang Suhariyanto,Indonesian politician (born 1954 in Banyuwangi)
Q108894683,Baidowi,Indonesian politician (born 1980 in Banyuwangi)
Q108895647,Agus Mustapa,Indonesian politician (born 1966 in Banyuwangi)
Q108901560,Miftah Farid,Indonesian politician (born 1981 in Banyuwangi)
Q108901704,Raden Bagus Suryama Majana Sastra,Indonesian politician (born 1961 in Banyuwangi)
Q108901894,Djuwita Rarasmaya,Indonesian politician (born in Banyuwangi)
Q108901899,Soraya A. Kadir Saleh,Indonesian politician (born 1961)
Q108903019,Durrotun Nafisah,Indonesian politician (born 1979 in Banyuwangi)
Q109996626,Soeriadie Soeriadarma,Military officer
Q111285616,Vita Alvia,penyanyi Indonesia
Q16170849,Bestrizal Besta,Indonesian painter
Q52008316,Ed Tietjens,Dutch inventor and writer
Q66104717,Ignatius Rudy,badminton player
Q74621998,Jan van Lookeren Campagne,
Q96988762,Fadholi,Indonesian politician
Q96989140,Sukamta,Indonesian politician
Q106983626,Johanna Geertruida de Bruyn-van der Leeuw,Dutch art collector
Q108889039,Arief Rahman Hakim,Indonesian politician (born 1983 in Klaten)
Q108891108,Siswanda Hs,Indonesian politician (born 1960)
Q108892395,Ratih Kustiwulan,Indonesian politician (born 1973 in Klaten)
Q108892479,Soetjipto,Indonesian politician (born 1945)
Q108892656,Endah Maryani Sari,Indonesian politician (born 1966)
Q108892733,Warseno,Indonesian politician (born 1965 in Klaten)
Q108892860,Siti Zainab,Indonesian politician (born 1947 in Klaten)
Q108892890,Mm Restu Hapsari,Indonesian politician (born 1973 in Klaten)
Q108893223,Wiranti Saputri,Indonesian politician (born 1964)
Q108893373,Titi Sri Amiretno D. W,Indonesian politician (born 1947 in Klaten)
Q108894381,Anis Dwihastuti,Indonesian politician (born 1982 in Klaten)
Q108895558,Antun Joko Susmana,Indonesian politician (born 1971 in Klaten)
Q108896634,Burhan Purnomo,Indonesian politician (born 1967 in Klaten)
Q108896652,Hisam Mawardi,Indonesian politician (born 1967 in Klaten)
Q108896655,Ach. Saifudin Zuhri A,Indonesian politician (born 1966 in Klaten)
Q108896659,Sukri,Indonesian politician (born 1963 in Klaten)
Q108896669,Sutarna,Indonesian politician (born 1966 in Klaten)
Q108896675,Sadino,Indonesian politician (born 1966 in Klaten)
Q108896681,Mustofa B. Nahrawardaya,Indonesian politician (born 1972 in Klaten)
Q108896683,Marjuki,Indonesian politician (born 1970 in Klaten)
Q108896686,Y. Wibowo Agung Sanyoto,Indonesian politician (born 1968 in Klaten)
Q108896688,Wisnu Wahyu Hardjanto,Indonesian politician (born 1975 in Klaten)
Q108901126,Titik Soegiharto,Indonesian politician (born 1953 in Klaten)
Q108901760,Nani Dewi,Indonesian politician (born 1976)
Q108901777,Suharto,Indonesian politician (born 1959 in Klaten)
Q114056877,Chiara Marvella Handoyo,badminton player
Q114058529,Titis Maulida Rahma,badminton player
Q16179724,Handi Irawan,
Q17410974,R. Hartono,Panglima KKO ke-3
Q20031908,Suzanna Ignatia von Wolzogen Kühr,
Q96987991,Tuti Nusandari Roosdiono,Indonesian politician
Q97327977,Gretha Zahar,
Q98858398,Wighar,"Animation director, entrepreneur, and musician"
Q106707974,Johan Carel Stuffken,Military officer
Q108610891,Emile Jules Theodore Gobée,Military officer (1849-1911)
Q109802680,Willem Hemmes,Military officer
Q110016241,Raden Bagoes Soendjojo,Military officer
Q111961565,Dian Purnomo,penulis asal Indonesia
Q113778294,Pramono U. Tanthowi,
Q25457856,Anjrah Lelono Broto,
Q96987303,Syaiful Bahri Anshori,Indonesian politician
Q96987595,Bambang Haryadi,Indonesian politician
Q96988783,Ach Fadil Muzakki Syah,Indonesian politician
Q103839321,Muhammad Adlan Aly,Ulama
Q108890422,S. Muhammad,Indonesian politician (born 1960 in Gresik)
Q108892837,Syarifuddin,Indonesian politician (born 1972 in Gresik)
Q108893282,Safiqotul Aimah,Indonesian politician (born 1989 in Gresik)
Q108893426,Ulul Albab,Indonesian politician (born 1961 in Gresik)
Q108894182,Faridah Alwi,Indonesian politician (born 1956 in Gresik)
Q108894309,Faf Adisiswo,Indonesian politician (born 1960 in Gresik)
Q108894379,Bagus Ali Junaidy,Indonesian politician (born 1970 in Gresik)
Q108894385,Zainal Abidin,Indonesian politician (born 1976 in Gresik)
Q108894387,Khatibur Rasyadi,Indonesian politician (born 1978 in Gresik)
Q108894392,Ma'ruf,Indonesian politician (born 1974 in Gresik)
Q108894426,Mahrus Munir,Indonesian politician (born 1965)
Q108894431,Muchtar Effendi,Indonesian politician (born 1954 in Gresik)
Q108894449,Imanda Ratining Putri,Indonesian politician (born 1990 in Gresik)
Q108894450,Luqman Hakim,Indonesian politician (born 1960 in Gresik)
Q108895134,Muhammad Sadji Bcm,Indonesian politician (born 1950 in Gresik)
Q108895198,Siti Fatimah,Indonesian politician (born 1975 in Gresik)
Q108895786,Hendriata  S. Wullur,Indonesian politician (born 1961 in Gresik)
Q108901826,Yualifus Salmah,Indonesian politician (born in Gresik)
Q108901985,Rosidah,Indonesian politician (born 1983 in Gresik)
Q108903015,Ali Burhan,Indonesian politician (born 1955 in Gresik)
Q108903028,Jamaludin Shaleh,Indonesian politician (born 1964 in Gresik)
Q28947942,Erik Roos,
Q74622020,Balthazar Simon ten Berge,
Q84387800,Lindawati Kusdhany,peneliti dan dokter spesialis prostodonsia asal Indonesia
Q96987982,Sukur H Nababan,Indonesian politician
Q98557539,Willem Zweedijk,architect
Q106159996,Sitti Izzati Aziz,politikus Indonesia
Q106640308,Karel Frederik van Swieten,
Q108889309,Barnabas Yusuf Hura,Indonesian politician (born 1957)
Q108889310,Gusrizal,Indonesian politician (born 1966 in Padang)
Q108889451,Chairul Umaiya,Indonesian politician (born 1959)
Q108889454,Yuhelmis Sieinifa,Indonesian politician (born 1970 in Padang)
Q108889455,Muchlizar Murkan,Indonesian politician (born 1953 in Padang)
Q108889474,Jeffry,Indonesian politician (born 1968 in Padang)
Q108889475,Husni Nahar,Indonesian politician (born 1957 in Padang)
Q108889477,Aswil Dt. R. Bilang,Indonesian politician (born 1969 in Padang)
Q108889480,Zarmedi Abidin,Indonesian politician (born 1963 in Padang)
Q108889482,Rinie Sri Yanti,Indonesian politician (born 1955 in Padang)
Q108889489,Yenny Amir,Indonesian politician (born 1960 in Padang)
Q108889493,Yuliza,Indonesian politician (born 1968 in Padang)
Q108889494,Elya Defita,Indonesian politician (born 1971 in Padang)
Q108889501,Novian Zen,Indonesian politician (born 1963)
Q108889503,Zirma Juneldi,Indonesian politician (born 1964 in Padang)
Q108889507,Reza Irham,Indonesian politician (born 1966 in Padang)
Q108889508,Yeny S Tanjung,Indonesian politician (born 1964 in Padang)
Q108889511,Nani Refita,Indonesian politician (born 1975 in Padang)
Q108889513,Dasril Ilyas,Indonesian politician (born 1953 in Padang)
Q108889515,Novrial Anas,Indonesian politician (born 1955 in Padang)
Q108889527,Marni Malay,Indonesian politician (born 1963 in Padang)
Q108889528,Evi Susanti,Indonesian politician (born 1974 in Padang)
Q108889532,Djamuris Dt Bandaro Jambak,Indonesian politician (born 1952 in Padang)
Q108889571,Sukri Bey,Indonesian politician (born 1954 in Padang)
Q108889626,Nelly Warnim Kamsah,Indonesian politician (born 1955)
Q108889704,Edhy Zahar Koto,Indonesian politician (born 1967 in Padang)
Q108890203,Rahman Na'ansyah,Indonesian politician (born 1957 in Padang)
Q108890232,Noorsyam S. Noor,Indonesian politician (born 1954)
Q108890253,Etty Musnihatty,Indonesian politician (born 1954 in Padang)
Q108890301,Hamdani Tandjung,Indonesian politician (born 1954 in Padang)
Q108890469,Zulkarnain,Indonesian politician (born in Padang)
Q65702851,Wim Yo Bwan Tjong,Dutch artist (1913-1977)
Q67198060,Robert Frederik van Naerssen,dosen
Q82573759,Hendrik Pieter Mispelblom van Altena,
Q84593829,A.W.M. Mauwer,
Q96988723,Idah Syahidah Rusli Habibie,politikus Indonesia
Q97590587,Yoseph Umar Hadi,Indonesian politician
Q97590809,Laila Istiana Ds,Indonesian politician
Q98969839,Selvi Ananda,
Q108889654,Gusmiyar Ridwan,Indonesian politician (born 1962 in Surakarta)
Q108889863,R. Haidar Alwi,Indonesian politician (born 1963 in Surakarta)
Q108890371,Tina Wiryawati,Indonesian politician (born 1962)
Q108890462,Henny Ida Astuti,politisi Indonesia
Q108890494,Bambang Widyatomo Hm,Indonesian politician (born 1948 in Solo)
Q108890587,Endang Setya Nuryani,Indonesian politician (born 1956 in Solo)
Q108890696,Didi Supriyanto,Indonesian politician (born 1962)
Q108890855,Diliana Ermaningtias,Indonesian politician (born 1982 in Surakarta)
Q108891030,Radhar Tri Baskoro,Indonesian politician (born 1960 in Solo)
Q108891095,Bambang Setyo Supriyanto,Indonesian politician (born 1950 in Surakarta)
Q108892011,Dewi Aty Indhrati Pringgodani,Indonesian politician (born 1967 in Solo)
Q108892263,Ayu Wulansari Raharningtyas Marditia,Indonesian politician (born 1990 in Surakarta)
Q108892447,Cornelius D. Ronowidjojo,Indonesian politician (born 1953 in Solo)
Q108892579,Dina Ardiyanti,Indonesian politician (born 1977 in Surakarta)
Q108892629,Asto Sunu Subroto,Indonesian politician (born 1964 in Solo)
Q108892645,Sugiyanto,Indonesian politician (born 1956 in Solo)
Q108892693,Lusiana Marianingsih,Indonesian politician (born 1963)
Q108892724,Kusnia Arman,Indonesian politician (born 1956 in Surakarta)
Q108892735,Nia Chandra Kirana,Indonesian politician (born 1981 in Surakarta)
Q108892739,Ny Karni,Indonesian politician (born 1960 in Solo)
Q108892783,Kp. Eddy Wirabhumi,Indonesian politician (born 1963 in Surakarta)
Q108892788,Buddhiarto,Indonesian politician (born 1980 in Solo)
Q108892793,Sri Rohana,Indonesian politician (born 1968 in Surakarta)
Q108892799,Hm. Ali Badarudin,Indonesian politician (born 1963 in Solo)
Q108892839,Wiji Lestari,Indonesian politician (born 1974 in Surakarta)
Q108893142,Nursintauli Magdalena,Indonesian politician (born in Surakarta)
Q108893233,Fauzi Umar,Indonesian politician (born 1954 in Surakarta)
Q108893392,Luluk Puji Rahayu,Indonesian politician (born in Solo)
Q108893413,Budy Setyagraha,Indonesian politician (born in Surakarta)
Q108893414,Akmaludin Akbar,Indonesian politician (born 1987 in Surakarta)
Q108893527,Rijfa Hadita,Indonesian politician (born 1971 in Surakarta)
Q108893664,Aminah Ali Assegaf,Indonesian politician (born 1957 in Solo)
Q108893687,Prajna P Kirana Laksmi,Indonesian politician (born 1978 in Surakarta)
Q108893933,Pratiwi,Indonesian politician (born 1960 in Solo)
Q108894156,Muhamad Taufiq,Indonesian politician (born 1964 in Surakarta)
Q108894346,Airlangga,Indonesian politician (born 1970 in Surakarta)
Q108894440,Zainun Ahmadi,Indonesian politician (born 1957)
Q108894921,Nucky Hendaryanti,Indonesian politician (born 1968 in Solo)
Q108895032,Aris Budianto Sugiono,Indonesian politician (born 1959)
Q108895213,Maria Magdalena Blegur,Indonesian politician (born 1984 in Surakarta)
Q108895465,Didik Salmijardi,Indonesian politician (born 1946)
Q108895487,Arief Budiatmo,Indonesian politician (born 1961 in Solo)
Q108896631,Sarwoto Atmosutarmo,Indonesian politician (born 1957 in Solo)
Q108896637,Agustian Budi Prasetya,Indonesian politician (born 1966 in Surakarta)
Q108896638,Arianti Dewi,Indonesian politician (born 1972 in Surakarta)
Q108896642,Hardono,Indonesian politician (born 1962 in Surakarta)
Q108896653,Theodora Meilani Setyowati,Indonesian politician (born 1982 in Surakarta)
Q108896658,Adityawarman,Indonesian politician (born 1981 in Surakarta)
Q108896660,Rr. Murti Sari Dewi,Indonesian politician (born 1971 in Surakarta)
Q108896663,Kph. Warsito Sanyoto,Indonesian politician (born 1945 in Surakarta)
Q108896687,Decky Hardijantho,Indonesian politician (born 1972)
Q108896704,Hidayah Rochmah,Indonesian politician (born 1954 in Solo)
Q108896710,Pramono,Indonesian politician (born 1966 in Surakarta)
Q108896712,Soeyanto Ducko P,Indonesian politician (born 1956)
Q108901128,Djoko Waseso,Indonesian politician (born 1970 in Surakarta)
Q108901665,Dwi Suryawati Said,Indonesian politician (born 1955 in Surakarta)
Q108901688,Hm. Taufiq Abdul Hakim,Indonesian politician (born 1960 in Solo)
Q77670756,Zulidahlan,Pengarang Indonesia
Q96986939,Nur Nadlifah,anggota DPR fraksi PKB
Q97503554,Agus Mulyadi,penulis asal Indonesia
Q97590719,Noor Achmad,Indonesian politician
Q103839444,Muhammad Arwani Amin,Ulama
Q107648568,Meilani Intan Pertiwi,"Peneliti, Penulis"
Q108889669,Mu'alim,Indonesian politician (born 1970 in Pati)
Q108891120,Riska Irawan,Indonesian politician (born 1950 in Kudus)
Q108892416,R. Ayub Edy Purnomo,Indonesian politician (born 1964 in Kudus)
Q108892435,A. Suryanto,Indonesian politician (born 1971 in Pati)
Q108892511,Ali Mahir,Indonesian politician (born 1966 in Kudus)
Q108892517,Riyono Asnan,Indonesian politician (born 1975)
Q108892532,Noor Aini,Indonesian politician (born 1962 in Kudus)
Q108892533,Siti Khotimah,Indonesian politician (born 1963 in Pati)
Q108892536,Rajimah,Indonesian politician (born 1966 in Kudus)
Q108892546,Muhtosim Arief,Indonesian politician (born 1963 in Pati)
Q108892547,Muhammad Izzul Muslimin,Indonesian politician (born 1963 in Pati)
Q108892553,Kamal Fauzi,Indonesian politician (born 1963 in Kudus)
Q108892555,Elich Kusumawati,Indonesian politician (born 1971 in Kudus)
Q108892569,Afroni Imawan,Indonesian politician (born 1981 in Kudus)
Q108892572,Muhanto,Indonesian politician (born 1953 in Kudus)
Q108892577,Dian Asri Kusumaningrum,Indonesian politician (born 1973 in Kudus)
Q108892578,Hm. Masluri,Indonesian politician (born 1963 in Kudus)
Q108892584,Diah Wardhani,Indonesian politician (born 1970 in Kudus)
Q108892595,Kusmiyati Kusumawijaya,Indonesian politician (born 1952 in Pati)
Q108892597,Bambang Sulistiyono,Indonesian politician (born 1973 in Pati)
Q108892625,Ety Lusiyana,Indonesian politician (born in Pati)
Q108892626,Ahmad Hadi Imron,Indonesian politician (born 1980 in Pati)
Q108892630,Rachman Solichul Hadi,Indonesian politician (born 1964 in Kudus)
Q108892634,Tarmuji Ap.,Indonesian politician (born 1967 in Pati)
Q108892642,Badrun Niam,Indonesian politician (born 1964 in Pati)
Q108892646,Moch Sa'dun,Indonesian politician (born 1970)
Q108892647,Marsudi Budi Utomo,Indonesian politician (born 1972)
Q108892649,Muslikhan,Indonesian politician (born 1961 in Pati)
Q108892651,Asih Dwi Sayekti,Indonesian politician (born 1977 in Kudus)
Q108892652,Hartuti,Indonesian politician (born 1972 in Pati)
Q108892653,Sutriyono,Indonesian politician (born 1974 in Pati)
Q108892713,Arudji Wahyono,Indonesian politician (born 1958 in Kudus)
Q108892727,Kusmanto,Indonesian politician (born 1969 in Pati)
Q108892730,Alwi Alaydrus,Indonesian politician (born 1961 in Pati)
Q108892748,Sujatno,Indonesian politician (born 1969 in Pati)
Q108892861,Muqoddam Cholil,Indonesian politician (born 1966)
Q108892973,M Supito,Indonesian politician (born 1960 in Pati)
Q108893322,Ika Setiyaningsih,Indonesian politician (born 1989 in Pati)
Q108894275,Badar Murtadlo,Indonesian politician (born 1961 in Pati)
Q108895445,Sugiyono,Indonesian politician (born 1976)
Q108901756,Retno Susilowati,Indonesian politician (born 1972 in Kudus)
Q108901761,Luqman Hakim,Indonesian politician (born 1981 in Kudus)
Q108901762,Nur Rifah Patich,Indonesian politician (born 1950 in Kudus)
Q108901791,O. A. Martha Wibisono,Indonesian politician (born 1955 in Kudus)
Q114059331,Bernadine Anindiya Wardana,badminton player
Q64058275,Achmad Mudlor,Ulama' dari kabupaten Lamongan
Q64058765,Abdul Manan,Ulama dari Banyuwangi Jawa Timur Indonesia
Q97590562,Siti Masrifah,Indonesian politician
Q97590815,Viva Yoga Mauladi,Indonesian politician
Q97591278,Sungkono,Indonesian politician
Q97592875,Ayub Khan,Indonesian politician
Q103839694,Musta'in Romly,Ulama
Q108889675,Sukmo Mulyo Rejo,Indonesian politician (born 1966 in Jember)
Q108890269,K.H Muslih,Indonesian politician (born 1969 in Jember)
Q108890539,Rosul,Indonesian politician (born 1986 in Jember)
Q108891021,Abdul Djalil,Indonesian politician (born 1953 in Jombang)
Q108891340,Abdul Rochman,Indonesian politician (born 1975 in Jombang)
Q108892245,N. Raihan,Indonesian politician (born 1964 in Lamongan)
Q108892756,Lamat Subjakto,Indonesian politician (born 1954 in Jombang)
Q108893469,Muhammad Koderi Hw,Indonesian politician (born 1972 in Jember)
Q108893479,Minarto Tjandra,Indonesian politician (born 1958 in Jember)
Q108893506,Soendari Kabat,Indonesian politician (born 1945 in Lamongan)
Q108893575,Lili Chodidjah Wahid,Indonesian politician (born 1948)
Q108893589,Kh. Yunus Roichan,Indonesian politician (born 1955)
Q108893653,H Ahmad Ghufron,Indonesian politician (born 1957 in Jember)
Q108893697,Heru Bahtiar Arifin,Indonesian politician (born 1974 in Lamongan)
Q108893705,Aida Lutfiah,Indonesian politician (born 1976 in Jember)
Q108893707,Rahmelia Ariska,Indonesian politician (born 1976 in Jember)
Q108893723,Choirul Sholeh Rasyid,Indonesian politician (born 1966)
Q108893735,Masruroh Wahid,Indonesian politician (born 1949 in Jombang)
Q108893768,Zainul Hasan,Indonesian politician (born 1969 in Jember)
Q108893770,Denik Tri Widorini,Indonesian politician (born 1972 in Jember)
Q108893774,Iswahyudi,Indonesian politician (born 1976 in Jember)
Q108893780,Gatot Edy Sutrisno,Indonesian politician (born 1960 in Jember)
Q108893796,Khuriyatul Fikriyah,Indonesian politician (born 1971 in Jember)
Q108893798,Saifuddin,Indonesian politician (born 1958 in Jember)
Q108893804,Maksum,Indonesian politician (born 1964 in Jember)
Q108893808,Abdul Gofur,Indonesian politician (born 1985 in Jember)
Q108893824,Imam Suhardjo Hm,Indonesian politician (born 1948)
Q108893825,K.R. Abdul Kohar Mudzakkir,Indonesian politician (born 1964 in Jember)
Q108893839,Hapidz,Indonesian politician (born 1959 in Jember)
Q108893843,Nining Farianti,Indonesian politician (born 1984 in Jember)
Q108893982,Roisatun Nisak,Indonesian politician (born 1963 in Jombang)
Q108893983,Zainul Munasichin,Indonesian politician (born 1977)
Q108893986,Firda Zuhriyya,Indonesian politician (born 1988 in Jombang)
Q108893987,Ahmad Sufiyaji,Indonesian politician (born 1963 in Jombang)
Q108894079,Gunawan Hidayat,Indonesian politician (born 1971 in Lamongan)
Q108894096,Syamsul Huda,Indonesian politician (born 1973)
Q108894164,Mufti Mubarok,Indonesian politician (born 1972 in Lamongan)
Q108894165,Mu'linah,Indonesian politician (born 1969 in Jombang)
Q108894168,Lailatur Rohmah,Indonesian politician (born 1971 in Jombang)
Q108894174,Zahrul Azhar Asumta,Indonesian politician (born 1976 in Jombang)
Q108894175,Yusuf Wibisono,Indonesian politician (born 1964 in Jombang)
Q108894183,Ikhsan Effendi,Indonesian politician (born 1966)
Q108894189,Badi Zamanil Masnur,Indonesian politician (born 1975)
Q108894192,Hm. Anwar Rachman,Indonesian politician (born 1962 in Jombang)
Q108894196,Achmad Munif Sufri,Indonesian politician (born 1948 in Jombang)
Q108894209,Faisol,Indonesian politician (born 1978 in Jombang)
Q108894211,Asan,Indonesian politician (born 1964 in Jombang)
Q108894218,Ahmad Amrullah,Indonesian politician (born 1972 in Jombang)
Q108894251,Mixil Mina Munir,Indonesian politician (born 1976 in Lamongan)
Q108894254,Hadrean Renanda,Indonesian politician (born 1985)
Q108894269,Ek Syafi'i Imam Saksono,Indonesian politician (born 1948 in Jombang)
Q108894300,Lukmanul Khakim,Indonesian politician (born 1983)
Q108895470,Umi Farida,Indonesian politician (born 1978 in Jember)
Q108896617,Siti Lailiyatul Chotimah,Indonesian politician (born 1967 in Jember)
Q108901770,Ir Budi Santoso,Indonesian politician (born 1964 in Jember)
Q108901883,Vera Nawira,politikus Indonesia
Q108901900,Umi Zahrok,Indonesian politician (born 1967)
Q108901903,Taufik Bachtiar Effendi,Indonesian politician (born 1963 in Jember)
Q17410767,Muhammad Arwani Thomafi,politisi Indonesia
Q96986944,"Drs. H. Bisri Romly, Mm",Indonesian politician
Q96989539,Agung Budi Santoso,Indonesian politician
Q97590765,Ida Bagus Putu Sukarta,Indonesian politician
Q108892823,Rustanti,Indonesian politician (born 1976 in Purbalingga)
Q108892919,Siti Fatimah Lusianti Agustin,Indonesian politician (born 1969 in Purbalingga)
Q108892934,Alfina Rahil Ashidiqi,Indonesian politician (born 1987 in Purbalingga)
Q108892972,R. Bambang Budi Surjono,Indonesian politician (born 1968 in Purbalingga)
Q108892979,Imam Maliki,Indonesian politician (born 1971 in Purbalingga)
Q108892986,Khusnul Khotimah,Indonesian politician (born 1981 in Purbalingga)
Q108892988,Eprilya Rushanidah,Indonesian politician (born 1974 in Purbalingga)
Q108893056,Siti Aniroh,Indonesian politician (born in Purbalingga)
Q108896624,Tri Budiarto,Indonesian politician (born 1947 in Purbalingga)
Q108901778,Hm. Slamet Warsito,Indonesian politician (born 1955 in Pati)
Q108901779,Ninjar Masfufah,Indonesian politician (born 1968 in Pati)
Q108903004,Katarina Ida Rokhayati,Indonesian politician (born 1969 in Pati)
Q108903007,Hari Indah Dwi Mulyani,Indonesian politician (born 1975 in Pati)
Q109702136,Soewarno,political candidate (from Tangerang; district Jatim IX in 2009)
Q114057239,Aura Ihza Aulia,badminton player
Q55093979,Panji Akbar Sudrajat,badminton player
Q64021212,Sukarno Darmosukarto,Indonesian writer
Q66311326,Mahmudah Ahmad,Ulama perempuan
Q85823220,Kunto Wibisono Siswomihardjo,Guru Besar di Universitas Gadjah Mada
Q97590556,Arvin Hakim Thoha,Indonesian politician
Q101429334,Mutammimul Ula,politikus Indonesia
Q105941875,Sukinah,perempuan aktivis gerakan lingkungan Indonesia
Q106602164,Johann Wolff Anton von Schmidt auf Altenstadt,Civil servant in the Netherlands-Indies
Q108892426,Nurul Inayati,Indonesian politician (born 1963 in Kabupaten Semarang)
Q27913488,Bandar Sigit Pamungkas,badminton player
Q51120769,Ryan Oris,"Indonesian Record Producer, DJ, Songwriter and Multi-Instumentalist."
Q85822926,Yuwono Kolopaking,Seorang pengusaha dalam PT Jasa Marga
Q108901891,Ahmad Anas Yahya,Indonesian politician (born 1954 in Solo)
Q108902884,Oktino Setyo Irawan,Indonesian politician (born 1972 in Surakarta)
Q108903064,Evin Novia,Indonesian politician (born 1981 in Surakarta)
Q110036554,Remmert Mijnssen,
Q64058356,Abdul Fattah Djalalain,Ulama dari Kediri
Q65204869,Rina Indiastuti,rektor universitas padjadjaran
Q96987315,An'im Falachuddin Mahrus,Indonesian politician
Q97590728,Mohammad Suryo Alam,Indonesian politician
Q105952206,Sarah Tria Monita,atlet bela diri Indonesia
Q108889733,Ninik Samsiati,Indonesian politician (born 1968 in Kediri)
Q108891244,Supriyo Yuwono,Indonesian politician (born 1963)
Q108891883,Devi Kusumawardhani,Indonesian politician (born 1974 in Kediri)
Q108892744,Aisyah Ulfa Syafii,Indonesian politician (born 1971 in Kediri)
Q108893338,Henny Leksmana,Indonesian politician (born 1957 in Kediri)
Q108893435,Gesang Budiarso,Indonesian politician (born 1959 in Kediri)
Q108893471,Mari Soesilo,Indonesian politician (born 1968 in Kediri)
Q108893495,Sri Hadijah Ratnawati,Indonesian politician (born 1972 in Kediri)
Q108893531,Abdul Rachman Julianto,Indonesian politician (born 1955 in Kediri)
Q108893841,Yetty Ratnaningrum,Indonesian politician (born 1961 in Kediri)
Q108893881,Imam Zuhdi,Indonesian politician (born 1966 in Kediri)
Q108893948,S. Azhary,Indonesian politician (born 1949 in Kediri)
Q108893952,Zainal Arifin Th,Indonesian politician (born 1955 in Kediri)
Q108893973,Kh. Fuad Anwar,Indonesian politician (born 1958 in Kediri)
Q108893991,Nurhayati Shigeno,Indonesian politician (born 1969)
Q108893992,Nurcahyono,Indonesian politician (born 1974 in Kediri)
Q108893993,Farid Mubarok,Indonesian politician (born 1973 in Kediri)
Q108893997,Rinjani Dwi Harini,Indonesian politician (born 1971)
Q108894010,Lihan Nahari,Indonesian politician (born 1974 in Kediri)
Q108894011,Marendra Darwis,Indonesian politician (born 1973 in Kediri)
Q108894046,Khoirul Rojikin,Indonesian politician (born 1964 in Kediri)
Q108894050,Erjik Bintoro,Indonesian politician (born 1971 in Kediri)
Q108894181,Mohamad Qoyum,Indonesian politician (born 1974 in Kediri)
Q108894213,Didik P. Sumbodo,Indonesian politician (born 1960 in Kediri)
Q108894237,Didik Hariyanto,Indonesian politician (born 1962 in Kediri)
Q108894250,Ario Indrasworo,Indonesian politician (born 1972 in Kediri)
Q108894299,Yayuk Sri Rahayu,Indonesian politician (born 1970 in Kediri)
Q10860226,Soekarwo,gubernur Jawa Timur
Q108894369,Dhofir Alwi,Indonesian politician (born 1959 in Lamongan)
Q108894372,Cipto Kuswandi,Indonesian politician (born 1972 in Lamongan)
Q108894376,Afif Hasbullah,Indonesian politician (born 1976 in Lamongan)
Q108894382,Kholid Novianto,Indonesian politician (born 1968 in Lamongan)
Q108894390,Mimin Austiyana,Indonesian politician (born 1964)
Q108894391,Askodar,Indonesian politician (born 1949 in Lamongan)
Q108894395,Margaret Aliyatul Maimunah,Indonesian politician (born 1979)
Q108894397,Akhmad Khafid,Indonesian politician (born 1979 in Lamongan)
