Q221310,Anggun C. Sasmi,penyanyi-penulis lagu Indonesia-Prancis
Q3181117,Sutomo,pahlawan nasional Indonesia
Q4695305,Ahmad Dhani,musikus Indonesia
Q29145414,Kevin Lilliana,model dan pemenang kontes kecantikan Miss International 2017 asal Indonesia
Q4201122,Hanung Bramantyo,sutradara laki-laki asal Indonesia
Q706175,Victor Albert Gonsalves,Dutch footballer
Q3093044,Gerrit Faulhaber,Indonesian footballer (1912-1951)
Q4202141,Sam Ratulangi,Pahlawan Revolusi Kemerdekaan
Q4264456,Evie Tamala,penyanyi asal Indonesia
Q12525054,Yayan Ruhian,pemeran laki-laki asal Indonesia
Q769919,Frans G. Hu Kon,Indonesian footballer
Q4931574,Boaz Solossa,Pesepakbola Indonesia
Q2489084,Asrul Sani,Pahlawan Revolusi Kemerdekaan
Q4264085,Adenan Kapau Gani,pahlawan nasional Indonesia
Q4201482,Syafruddin Prawiranegara,pahlawan nasional Indonesia
Q4131734,Ebiet G. Ade,penyanyi Indonesia
Q525472,Maurice Gatsonides,Dutch rally driver and inventor (1911-1998)
Q449688,Marinus Anton Donk,Dutch mycologist (1908-1972)
Q608792,Hubertus Leteng,Indonesian priest
Q4754513,Andjar Asmara,Seorang Actor dan Jurnalis yang berasal dari Indonesia
Q3656008,Tjoet Nyak Meutia,Pahlawan Revolusi Kemerdekaan
Q87184,Erika Remberg,Austrian actress
Q585982,Bona Septano,badminton player
Q145877,Imam Bonjol,Pahlawan Revolusi Kemerdekaan
Q2605059,R. Suprapto,pahlawan nasional Indonesia
Q5068118,Chaerul Saleh,Pahlawan Revolusi Kemerdekaan
Q12525366,Yustinus Hardjosusanto,21st-century Indonesian Catholic archbishop
Q576362,Boudewijn de Groot,Dutch singer and songwriter
Q1375653,Shane Gallagher,American musician
Q2524065,Anthonie Cornelis Oudemans,Dutch zoologist
Q2746631,Elvy Sukaesih,pemeran perempuan asal Indonesia
Q4131627,Irwandi Yusuf,politisi Indonesia
Q15222841,Paskalis Bruno Syukur,Uskup Keuskupan Bogor sejak tahun 2013
Q9331376,Citra Febrianti,atlet angkat besi Indonesia
Q4673343,Acha Septriasa,pemeran perempuan asal Indonesia
Q5111684,Iwan Fals,penyanyi dan musisi Indonesia
Q5263767,Nicholas Saputra,Pemeran laki-laki asal Indonesia (lahir 1984)
Q5568820,Glenn Fredly,penyanyi dan musisi Indonesia
Q6308160,Julie Estelle,pemeran perempuan asal Indonesia
Q520248,Debby Susanto,pemain bulu tangkis asal Indonesia
Q4199270,Bing Slamet,"aktor film, penyanyi, dan komedian asal Indonesia"
Q2254732,Cor Braasem,Dutch water polo player (1923-2009)
Q1284438,Edhi Handoko,Indonesian chess player
Q1976278,Pakubuwana VI,Susuhunan dari Surakarta
Q3044724,Suryo Agung Wibowo,Indonesian sprinter
Q4383337,Johannes Pujasumarta,archbishop from Indonesia
Q12506448,Prilly Latuconsina,pemeran perempuan asal Indonesia
Q2038341,Simon Santoso,mantan pemain bulu tangkis Indonesia
Q3341990,Nini Theilade,Danish ballet dancer (1915-2018)
Q983494,Kurniawan Dwi Yulianto,Indonesian footballer and manager
Q5830827,Emilia Contessa,pemeran perempuan asal Indonesia
Q4251141,Marah Roesli,Indonesian writer
Q3025589,Dewi Persik,pemeran perempuan asal Indonesia
Q281224,Heryanto Arbi,Pemain bulu tangkis asal Indonesia
Q56015542,Puti Kaisar Mihara,martial artist
Q591152,Dulmatin,Teroris asal Indonesia
Q4201183,Soepomo,Pahlawan Revolusi Kemerdekaan
Q983460,Luluk Hadiyanto,badminton player from Indonesia
Q12521646,Tirto Adhi Soerjo,Pahlawan Revolusi Kemerdekaan
Q4200346,Ari Lasso,penyanyi Indonesia
Q581677,Jacobus Hendricus van Lint,Dutch mathematician
Q1390640,Raffi Ahmad,pemeran laki-laki asal Indonesia
Q4794037,Melly Goeslaw,penyanyi-penulis lagu dan pemeran perempuan asal Indonesia
Q85989007,Ayu Maulida,model dan pemenang kontes kecantikan Puteri Indonesia 2020
Q707205,Ronald Susilo,Singaporean badminton player
Q2253449,Ernest Douwes Dekker,Pahlawan Revolusi Kemerdekaan
Q6862289,Poppy Mercury,penyanyi perempuan asal Indonesia
Q461579,Madelon Szekely-Lulofs,penulis indonesia
Q2491603,Oscar van Rappard,Dutch hurdler and footballer (1896-1962)
Q6543801,Lie Kim Hok,Chinese-Indonesian writer and teacher (1853–1912)
Q2921156,Vic Hayes,Father of Wi-Fi
Q4349443,Maia Estianty,pemeran perempuan asal Indonesia
Q7299896,Rd Ariffien,Indonesian film director
Q15065475,Evan Dimas Darmono,pemain sepak bola Indonesia
Q661401,Hamengkubuwana VIII,sultan Yogyakarta
Q2012278,Hamengkubuwana IV,sultan Yogyakarta
Q2430565,Hamengkubuwana III,sultan Yogyakarta
Q2650710,Aloysius Sudarso,Indonesian priest
Q461435,Denny Kantono,badminton player
Q4252095,Ayu Ting Ting,penyanyi asal Indonesia
Q1616295,Sultan Hasanuddin,Pahlawan Revolusi Kemerdekaan
Q2642883,Johannes Leimena,pahlawan nasional Indonesia
Q19922013,Joey Alexander,indonesian jazz pianist
Q7262516,Putu Wijaya,Indonesian writer
Q3505511,Elie Aiboy,Indonesian footballer
Q1810756,Max Westerkamp,field hockey player
Q2088806,Bernard Carp,"Dutch sailor, olympic gold medalist, board member at Erven Lucas Bols, golfplayer and throphy hunter"
Q429584,Adityawarman,Raja Tanah Emas
