Q2746631,pemeran perempuan asal Indonesia
Q4131627,politisi Indonesia
Q15222841,Uskup Keuskupan Bogor sejak tahun 2013
Q9331376,atlet angkat besi Indonesia
Q4673343,pemeran perempuan asal Indonesia
Q5111684,penyanyi dan musisi Indonesia
Q5263767,Pemeran laki-laki asal Indonesia (lahir 1984)
Q5568820,penyanyi dan musisi Indonesia
Q6308160,pemeran perempuan asal Indonesia
Q520248,pemain bulu tangkis asal Indonesia
Q4199270,"aktor film, penyanyi, dan komedian asal Indonesia"
Q2254732,Dutch water polo player (1923-2009)
Q1284438,Indonesian chess player
Q1976278,Susuhunan dari Surakarta
Q3044724,Indonesian sprinter
Q4383337,archbishop from Indonesia
Q12506448,pemeran perempuan asal Indonesia
Q2038341,mantan pemain bulu tangkis Indonesia
Q3341990,Danish ballet dancer (1915-2018)
Q983494,Indonesian footballer and manager
Q5830827,pemeran perempuan asal Indonesia
Q4251141,Indonesian writer
Q3025589,pemeran perempuan asal Indonesia
Q281224,Pemain bulu tangkis asal Indonesia
Q56015542,martial artist
Q591152,Teroris asal Indonesia
Q4201183,Pahlawan Revolusi Kemerdekaan
Q983460,badminton player from Indonesia
Q12521646,Pahlawan Revolusi Kemerdekaan
Q4200346,penyanyi Indonesia
Q581677,Dutch mathematician
Q1390640,pemeran laki-laki asal Indonesia
Q4794037,penyanyi-penulis lagu dan pemeran perempuan asal Indonesia
Q85989007,model dan pemenang kontes kecantikan Puteri Indonesia 2020
Q707205,Singaporean badminton player
Q2253449,Pahlawan Revolusi Kemerdekaan
Q6862289,penyanyi perempuan asal Indonesia
Q461579,penulis indonesia
Q2491603,Dutch hurdler and footballer (1896-1962)
Q6543801,Chinese-Indonesian writer and teacher (1853–1912)
Q2921156,Father of Wi-Fi
Q4349443,pemeran perempuan asal Indonesia
Q7299896,Indonesian film director
Q15065475,pemain sepak bola Indonesia
Q661401,sultan Yogyakarta
Q2012278,sultan Yogyakarta
Q2430565,sultan Yogyakarta
Q2650710,Indonesian priest
Q461435,badminton player
Q4252095,penyanyi asal Indonesia
Q1616295,Pahlawan Revolusi Kemerdekaan
Q2642883,pahlawan nasional Indonesia
Q19922013,indonesian jazz pianist
Q7262516,Indonesian writer
Q3505511,Indonesian footballer
Q1810756,field hockey player
Q2088806,"Dutch sailor, olympic gold medalist, board member at Erven Lucas Bols, golfplayer and throphy hunter"
Q429584,Raja Tanah Emas
Q17919,"Dutch architect (1882-1949), active in Bandung, Indonesia"
Q679059,Dutch footballer (1908-1941)
Q2997852,Indonesian boxer
Q2096629,politisi Indonesia
Q2249375,Pahlawan Revolusi Kemerdekaan
Q539542,Thai model
Q1442321,21st-century Indonesian Catholic bishop
Q1700309,Indonesian bishop
Q2526775,21st-century Indonesian Catholic archbishop
Q2944547,Indonesian atheist and prisoner
Q3177695,Politikus dan pengusaha Indonesia
Q3847849,
Q4973876,pemeran perempuan asal Indonesia
Q12494860,penyanyi Indonesia
Q11774724,pemeran perempuan asal Indonesia
Q12514086,pemeran perempuan asal Indonesia
Q12497727,pecatur putri asal Indonesia
Q18558886,pemain bulu tangkis asal Indonesia
Q5447406,pemeran perempuan asal Indonesia
Q20880258,penyanyi dan pemeran laki-laki asal Indonesia
Q275463,pemeran perempuan asal Indonesia
Q2343180,Dutch water polo player (1922-1987)
Q1521256,pemeran laki-laki asal Indonesia
Q2603618,pahlawan nasional Indonesia
Q3107476,politisi Indonesia
Q4187311,ekonom dan politisi senior Indonesia
Q4263863,Indonesian chess player
Q43131822,pendakwah dan ulama asal Indonesia
Q1179734,author
Q1279930,Mantan pembalap mobil profesional asal Indonesia
Q1392988,"Mantan Gubernur DKI Jakarta, Wakil Gubernur DKI Jakarta"
Q2060158,Olympic sailor
Q2603600,pahlawan nasional Indonesia
Q3793280,pemeran laki-laki asal Indonesia
Q3958239,pemeran perempuan asal Indonesia
Q4198154,Musisi jazz Indonesia
Q4199003,pemeran laki-laki asal Indonesia
Q4199390,pemeran laki-laki asal Indonesia
Q4201152,sutradara film asal Indonesia
Q11036795,sutradara asal Indonesia
Q4251025,Penyanyi asal Indonesia
Q4311053,Hong Kong actress and singer
Q4382677,teacher and half-sister of Barack Obama
Q5025906,penyanyi Indonesia
Q5068119,pengusaha dan birokrat Indonesia
Q6187937,Indonesian tennis player
Q6372516,filsuf dan astronomer asal Indonesia
Q6509386,komposer asal Indonesia
Q6745424,football player
Q4201732,politikus Indonesia
Q7419814,Mantan Menteri Pertahanan Republik Indonesia
Q7809983,pemeran perempuan asal Indonesia
Q9027531,Indonesian singer
Q4263166,pemeran laki-laki asal Indonesia
Q2627581,politisi Indonesia
Q3118591,Menteri Kesehatan Indonesia ke-15
Q3472874,penyair dan aktivis asal Indonesia
Q3655984,pahlawan nasional Indonesia
Q4196055,tokoh militer Indonesia
Q7207401,Indonesian academic
Q587188,Indonesian singer
Q1708087,Indonesian Roman Catholic bishop
Q18325159,pemeran laki-laki asal Indonesia
Q11108578,pemeran perempuan asal Indonesia
Q2838542,"Komponis musik | Pengarang musik ""Majulah Singapura"""
Q15229725,pemain bulu tangkis asal Indonesia
Q77836,German resistance member (1901-1944)
Q49254232,Penyanyi dari Indonesia
Q538910,pemain bulu tangkis asal Indonesia
Q468481,Pahlawan Revolusi Kemerdekaan
Q12483474,"Gubernur ke-15 Jawa Tengah, Indonesia"
Q4115277,politikus Indonesia
Q17410605,ibu negara Indonesia ke-7
Q978833,badminton player
Q7476096,pemeran laki-laki asal Indonesia
Q1387931,Muslim scholar
Q2091244,Pahlawan Revolusi Kemerdekaan
Q7844727,Indonesian distance runner
Q1813144,field hockey player
Q3745,mantan gubernur Jawa Barat
Q1061473,"Penulis, penyanyi, dan pengarang lagu asal Indonesia"
Q1133511,Ahli Botani Belanda
Q2342229,Pahlawan Revolusi Kemerdekaan
Q5262470,Penyanyi Indonesia
Q500157,Dutch actress (1940-1971)
Q1182143,Indonesian LGBT rights activist
Q7475943,pemeran perempuan asal Indonesia
Q12498215,pemeran perempuan asal Indonesia
Q868611,Indonesian badminton player
Q4116080,Indonesian footballer
Q578617,Dutch footballer (1888-1966)
Q17122267,Uskup Bandung sejak 2014
Q19655501,penyanyi-penulis lagu Indonesia
Q3440970,pemain tennis Indonesia
Q33160,pelawak Indonesia
Q2249484,sultan Yogyakarta
Q2581159,sultan Yogyakarta
Q2584101,sultan Yogyakarta
Q4160009,Catholic archbishop
Q1687024,Dutch painter and illustrator (1918-2013)
Q517755,Catholic bishop
Q3498286,Indonesian footballer
Q6108912,pemeran perempuan asal Indonesia
Q2370267,sutradara produser film Indonesia
Q12499835,Menteri Kesehatan Indonesia ke-17
Q4189316,Indonesian boxer
Q981536,Pahlawan Revolusi Kemerdekaan
Q2375169,Indonesian swimmer
Q745917,West Papuan independence activist
Q1923816,king of Champa
Q6875185,sutradara dan penulis asal Indonesia
Q1441813,Uskup Emeritus Manokwari-Sorong
Q402998,tokoh militer Indonesia
Q3572174,politisi Indonesia
Q608600,Indonesian chess player
Q4273010,penyanyi dan pemeran perempuan asal Indonesia
Q4200552,politisi Indonesia
Q187415,pemain bulu tangkis asal Indonesia
Q7585838,atlet angkat besi asal Indonesia
Q12470581,Pahlawan Revolusi Kemerdekaan
Q12470600,pemeran laki-laki asal Indonesia
Q12505429,pemeran perempuan asal Indonesia
Q12507600,tokoh politik dan pengacara Indonesia (1950–2021)
Q12500705,pemeran perempuan asal Indonesia
Q12523268,pemeran perempuan asal Indonesia
Q12478398,penyanyi asal Indonesia
Q13097203,Mantan Gubernur DKI Jakarta
Q357640,Indonesian paleoanthropologist (1929-2007)
Q4259946,Pahlawan Revolusi Kemerdekaan
Q3634460,tokoh pembaruan Hindu dan gerakan anti kekerasan di Indonesia
Q26227897,pace panbar
Q26254261,association football player
Q25468646,penyanyi Indonesia
Q117220,pemain bulu tangkis asal Indonesia
Q4201513,pahlawan nasional Indonesia
Q5111674,penyanyi Indonesia
Q6892160,"Menteri Koordinator Politik, Hukum, dan Keamanan Republik Indonesia ke-14"
Q12480888,emperor of Srivijaya empire
Q12487847,pemeran perempuan asal Indonesia
Q463093,Indonesian badminton player
Q11109918,Indonesian politician
Q4990753,penyanyi indonesia
Q320928,Dutch footballer (1885-1943)
Q353459,badminton player
Q469616,Menteri Kesehatan Indonesia ke-16 dan politisi Indonesia
Q1061866,pemeran laki-laki asal Indonesia
Q1334791,Mantan pembalap mobil profesional asal Indonesia
Q1396599,pemain bulu tangkis asal Indonesia
Q1523130,Indonesian badminton player
Q1619725,Dutch water polo player
Q1635435,penulis dan pemeran perempuan asal Indonesia
Q44988077,ilusionis Indonesia
Q1993617,produser film Indonesia
Q2053428,"aktris, model dan pemenang kontes kecantikan Puteri Indonesia 2009"
Q3545963,penulis dan wartawan asal Indonesia
Q3663579,sutradara asal Indonesia
Q1136098,Indonesian Roman Catholic bishop
Q6854752,Politisi dan ulama Indonesia
Q15533047,pemain bulu tangkis asal Indonesia
Q4259877,Pemain sepak bola Indonesia
Q4264970,penyanyi Indonesia
Q4460863,pemeran perempuan asal Indonesia
Q4695486,jurnalis Indonesia
Q4815122,Dutch phytopathologist (1898-1969)
Q5249736,pemeran laki-laki asal Indonesia
Q961117,Dutch writer
Q4724605,Sastrawan dan budayawan Indonesia
Q5296722,pemeran laki-laki asal Indonesia
Q6136277,pemeran laki-laki asal Indonesia
Q2419755,Indonesian sculptor
Q2053679,model dan pemenang kontes kecantikan Puteri Indonesia 2011
Q4198988,Indonesian presenter and politician
Q97222180,penyanyi dan pemeran perempuan asal Indonesia
Q7694770,sutradara dan pemeran film asal Indonesia
Q7476090,pemeran perempuan asal Indonesia
Q1106653,Dutch chess player
Q1702607,Mantan atlet bulu tangkis Indonesia (lahir 1966)
Q2202270,politikus asal Indonesia
Q2330098,pahlawan nasional Indonesia
Q2417617,Susuhunan Surakarta
Q3502316,politisi Indonesia
Q4726672,Pahlawan Revolusi Kemerdekaan
Q6723714,politisi Indonesia
Q7399523,Pahlawan Revolusi Kemerdekaan
Q1385041,Indonesian priest
Q12483575,tokoh militer Indonesia
Q448673,Indonesian badminton player
Q18421453,Indonesian politician
Q4189748,pemeran laki-laki asal Indonesia
Q15882992,Dutch model (1908-1991)
Q4251401,Tokoh yang terlibat dalam Gerakan 30sPki
Q56400139,Pemanjat tebing Indonesia (lahir 1995)
Q3231014,politisi Indonesia
Q5989792,writer (1921-1979)
Q4273018,"musikus, produser, dan politikus Indonesia"
Q706366,pemain bulu tangkis asal Indonesia
Q4815161,"peneliti, ahli bambu asal Indonesia"
Q503650,Dutch singer (1936-)
Q699041,politisi Indonesia Direktur Utama Indosiar
Q1383895,Dutch colonial governor (1894-1965)
Q4423167,atlet angkat besi asal Indonesia
Q4264061,Ibu Negara Indonesia ke-4
Q4272199,Indonesian singer
Q6761640,qoriah Indonesia (lahir 1955)
Q15498314,Indonesian footballer
Q5261540,Pahlawan Nasional Indonesia
Q441620,pemain bulu tangkis asal Indonesia
Q1306699,politikus Indonesia (1914-2004)
Q1022998,penyanyi dan pemeran perempuan asal Indonesia
Q3244615,pemeran laki-laki asal Indonesia
Q4188193,pemeran perempuan asal Indonesia
Q4232763,botanist (1863-1919)
Q4272043,Indonesian herpetologist
Q4273038,penyanyi indonesia
Q87672993,Dokter spesialis kedaruratan medis asal Indonesia
Q6425253,penyanyi Indonesia
Q7322170,pemeran perempuan asal Indonesia
Q7333042,Gubernur Jawa Barat dari 2018 sampai sekarang
Q7805962,politikus Indonesia
Q519540,pemain bulu tangkis asal Indonesia
Q664383,Dutch ornithologist (1890-1949)
Q941903,Dutch politician (1930-2009)
Q967941,Tentara dan politikus Indonesia
Q1281022,Dutch film director (1937-2002)
Q1321945,Catholic theologian
Q1352144,Dutch footballer (1887-1945)
Q2424939,Indonesian footballer
Q12512127,pemeran perempuan asal Indonesia
Q1754466,Dutch footballer (1889-1949)
Q3136157,Indonesian film director
Q3658142,penulis dan jurnalis Indonesia (1886-1951)
Q18421371,Politisi Indonesia
Q4261583,pemeran perempuan asal Indonesia
Q2196837,Dutch footballer and manager
Q2248705,"Dutch wartime pilot, spy and writer"
Q2526777,Uskup Gereja Katolik Roma untuk Keuskupan Surabaya
Q2603608,pahlawan nasional Indonesia
Q7438987,"Musikus, penulis, feminis, dan sastrawan asal Indonesia"
Q12486743,penyanyi dan pemeran laki-laki asal Indonesia
Q17411245,Uskup Sintang
Q6492661,Pahlawan Revolusi Kemerdekaan
Q981547,politisi Indonesia
Q7461716,Pahlawan Revolusi Kemerdekaan
Q12485593,Pahlawan Revolusi Kemerdekaan
Q96989495,Indonesian politician
Q1419304,"Dutch singer, music producer, composer, lyricist, music arranger, musician"
Q441642,Dutch singer and opera singer (1926-2004)
Q731740,politikus Indonesia
Q1706622,Journalist and screenwriter
Q2140777,Adipati dari Pakualaman ke-8 dan Gubernur Daerah Istimewa Yogyakarta ke-2
Q3241958,pemeran laki-laki asal Indonesia
Q16724322,Pemain bulu tangkis asal Indonesia
Q60307,pemain bulu tangkis asal Indonesia
