Q4258815,Tjokorda Gde Raka Soekawati
Q5350264,Eka Ramdani
Q5268010,Dewa Budjana
Q4201241,Maria Walanda Maramis
Q21538605,Setyana Mapasa
Q17410837,Nasrul Abit
Q2604528,Willem van Outhoorn
Q818408,Benyamin Yosef Bria
Q6543803,Lie Tek Swie
Q16233583,Luke Smith
Q26267479,Sudirman Hadi
Q12508562,Ria Irawan
Q12514113,Sheryl Sheinafia
Q12912624,Ario Bayu
Q13094789,Lydia Kandou
Q13095464,Nila Moeloek
Q14917401,Nia Daniati
Q15975470,Adrienne Jacqueline s' Jacob
Q19702167,Philo Paz Armand
Q468390,Mustafa Abubakar
Q5227848,Daud Beureu'eh
Q19743809,Tara Basro
Q12482563,Ermina Zaenah
Q4260406,Zulkifli Hasan
Q4806383,T.B. Simatupang
Q5629671,HIM Damsyik
Q20716044,Rain Chudori
Q201621,Alex McDowell
Q2840640,Alwi Shihab
Q111550625,Nienke Brinkman
Q355715,Bernard Lievegoed
Q820398,Walle Nauta
Q10513620,Supardi Nasir
Q149730,Njoo Cheong Seng
Q2094306,Pieter van Royen
Q2746664,Mohamad Roem
Q11695743,Nini Carlina
Q28673279,Andri Syahputra
Q4378323,Prijono
Q12507667,Radjiman Wedyodiningrat
Q2318919,Peter Alma
Q2785083,Kees Hoving
Q3275132,Teddy Yip
Q4262592,Ruhut Sitompul
Q377689,Adriyanti Firdasari
Q468493,Meiliana Jauhari
Q520122,Jo Novita
Q520145,Taty Sumirah
Q544645,Verawaty Wiharjo
Q954577,Ruben Gunawan
Q983372,Suryadharma Ali
Q1227398,Dirk van Cloon
Q1235477,Dolf Kessler
Q2131329,Pieter Mijer
Q2272083,Frans Tutuhatunewa
Q3212733,Ayushita
Q3546361,Marga T
Q3747301,Soekarno M. Noer
Q514944,Nippy Noya
Q7660844,Silvester Tung Kiem San
Q12685130,Tjilik Riwut
Q54673076,Dwinita Larasati
Q4216604,Alexander Rendell
Q4252085,Marshanda
Q4254237,Heri Dono
Q4261724,Oka Antara
Q4262867,Vidi Aldiano
Q4673828,Achmad Kurniawan
Q4877155,Beatrice Gumulya
Q5247049,Erwin Gutawa
Q5252631,Zaskia Sungkar
Q5263755,Zaskia Adya Mecca
Q5263775,Irwansyah
Q12491594,Khatijah Sidek
Q17410386,Rivai Apin
Q5429568,Fahmi Idris
Q5637638,Haddad Alwi
Q5711494,Audy Item
Q6096780,Ivan Lanin
Q6373557,Kartika Jahja
Q6514415,Lee Lin Chin
Q7308404,Asmirandah
Q7285389,Ali Haji bin Raja Haji Ahmad
