item,itemLabel,itemDescription,sitelinks
http://www.wikidata.org/entity/Q1752594,Tommy Sugiarto,Indonesian badminton player,12
http://www.wikidata.org/entity/Q2746623,Dian Sastrowardoyo,pemeran perempuan asal Indonesia,12
http://www.wikidata.org/entity/Q707282,Lo Lieh,pemeran laki-laki asal Indonesia,12
http://www.wikidata.org/entity/Q6761642,Maria Ulfah Santoso,mantan Menteri Sosial pada Kabinet Sjahrir II dan anggota BPUPKI,12
http://www.wikidata.org/entity/Q9015409,Rachel Amanda,pemeran perempuan asal Indonesia,12
http://www.wikidata.org/entity/Q289858,Soekiman Wirjosandjojo,Perdana Menteri Indonesia ke-6,12
http://www.wikidata.org/entity/Q183581,Hassan Wirajuda,Politikus,12
http://www.wikidata.org/entity/Q2978474,Abdoel Halim,politisi Indonesia,12
http://www.wikidata.org/entity/Q909047,Dorce Gamalama,penyanyi dan pelawak Indonesia,12
http://www.wikidata.org/entity/Q5431566,Fakih Usman,politisi Indonesia,12
http://www.wikidata.org/entity/Q706168,Conrad Helfrich,Dutch Luitenant-Admiraal of World War II,12
http://www.wikidata.org/entity/Q3294779,Hasri Ainun Habibie,Ibu Negara Indonesia ke-3,12
http://www.wikidata.org/entity/Q3353214,Emile Duson,field hockey player,12
http://www.wikidata.org/entity/Q85994941,Tiara Andini,penyanyi dan pemeran perempuan asal Indonesia,12
http://www.wikidata.org/entity/Q97307421,Happy Asmara,penyanyi-penulis lagu Indonesia,12
http://www.wikidata.org/entity/Q454136,Liesbeth List,Dutch singer,12
http://www.wikidata.org/entity/Q643644,Johan Fabricius,"Dutch writer, journalist and adventurer",12
http://www.wikidata.org/entity/Q3505523,Budi Sudarsono,Indonesian footballer,12
http://www.wikidata.org/entity/Q6641514,Afgansyah Reza,penyanyi Indonesia,12
http://www.wikidata.org/entity/Q11310259,Jan Ruff O'Herne,Dutch-Australian human rights activist campaigning against war rape,12
http://www.wikidata.org/entity/Q76333,Try Sutrisno,Wakil Presiden Indonesia ke-6,12
http://www.wikidata.org/entity/Q639329,Meinoud Rost van Tonningen,Dutch Nazi (1894-1945),12
http://www.wikidata.org/entity/Q2204754,Roderick Rijnders,Dutch rower,12
http://www.wikidata.org/entity/Q11213850,Indriati Iskak,pemeran perempuan asal Indonesia,12
http://www.wikidata.org/entity/Q4250968,Achmad Soebardjo,Pahlawan Revolusi Kemerdekaan,12
http://www.wikidata.org/entity/Q4699763,Ajip Rosidi,pengarang Indonesia,12
http://www.wikidata.org/entity/Q459474,Widya Saputra,presenter televisi Indonesia,12
http://www.wikidata.org/entity/Q545750,Dries Holten,Dutch singer and songwriter (1936-2020),12
http://www.wikidata.org/entity/Q465053,Tri Kusharyanto,badminton player,12
http://www.wikidata.org/entity/Q2669336,Garin Nugroho,sutradara film Indonesia,12
http://www.wikidata.org/entity/Q4695300,Ahmad Dahlan,"ulama Indonesia, pendiri Muhammadiyah",12
http://www.wikidata.org/entity/Q1806448,Antonius Colenbrander,Dutch equestrian,12
http://www.wikidata.org/entity/Q28962233,Robertus Rubiyatmoko,21st-century Indonesian Catholic bishop,12
http://www.wikidata.org/entity/Q2826050,Affandi,pelukis Indonesia,12
http://www.wikidata.org/entity/Q5653028,Happy Salma,pemeran perempuan asal Indonesia,12
http://www.wikidata.org/entity/Q5629065,Hans Bague Jassin,Pahlawan Revolusi Kemerdekaan,12
http://www.wikidata.org/entity/Q2915833,Untung Suropati,Pahlawan Revolusi Kemerdekaan,12
http://www.wikidata.org/entity/Q7416335,Sandiaga Uno,"pengusaha, politisi, dan Menteri Pariwisata dan Ekonomi Kreatif Indonesia ke-13,",12
http://www.wikidata.org/entity/Q6147504,Titiek Puspa,pemeran perempuan asal Indonesia,12
http://www.wikidata.org/entity/Q965563,Buchtar Tabuni,politisi Indonesia,11
http://www.wikidata.org/entity/Q1942017,Ted Dekker,American writer,11
http://www.wikidata.org/entity/Q11216625,Ikke Nurjanah,penyanyi dan aktris Indonesia,11
http://www.wikidata.org/entity/Q1254045,Johan Carp,sailor,11
http://www.wikidata.org/entity/Q1393182,Ali Sadikin,Pahlawan Revolusi Kemerdekaan,11
http://www.wikidata.org/entity/Q2669297,Burhanuddin Harahap,Perdana Menteri Indonesia ke-9,11
http://www.wikidata.org/entity/Q1284250,Eddy du Perron,Dutch writer (1899-1940),11
http://www.wikidata.org/entity/Q2277434,Soe Hok Gie,Aktivis Indonesia,11
http://www.wikidata.org/entity/Q2307624,Jenne Langhout,field hockey player (1918-2010),11
http://www.wikidata.org/entity/Q2573084,Marius Klumperbeek,Dutch rower,11
http://www.wikidata.org/entity/Q3317190,Chelsea Olivia,pemeran perempuan asal Indonesia,11
http://www.wikidata.org/entity/Q4259936,Atiqah Hasiholan,pemeran perempuan asal Indonesia,11
http://www.wikidata.org/entity/Q61997527,Frederika Alexis Cull,model dan pemenang kontes kecantikan Puteri Indonesia 2019,11
http://www.wikidata.org/entity/Q38693736,Egy Maulana Vikri,pemain sepak bola Indonesia,11
