item,itemLabel
http://www.wikidata.org/entity/Q383946,Orang Laos
http://www.wikidata.org/entity/Q384643,Afridi
http://www.wikidata.org/entity/Q384927,Interior Salish
http://www.wikidata.org/entity/Q385799,Afrikaner
http://www.wikidata.org/entity/Q387073,Tzotzil people
http://www.wikidata.org/entity/Q388101,Anglo-Celtic Australians
http://www.wikidata.org/entity/Q388264,Konfederasi Blackfoot
http://www.wikidata.org/entity/Q388315,Afro-Brasil
http://www.wikidata.org/entity/Q388467,Afrika-Kuba
http://www.wikidata.org/entity/Q388727,Andaqui people
http://www.wikidata.org/entity/Q389236,Suku Umbria
